state,pct_difference,state_round1_rec
VA,24.0541282339494,Recieved stimulus
VA,56.0308461500225,Recieved stimulus
VA,27.2841313624978,Recieved stimulus
VA,74.5575908017178,Recieved stimulus
VA,32.9989145564797,Recieved stimulus
VA,-4.48829353483953,Recieved stimulus
VA,-8.36833997910583,Recieved stimulus
VA,29.9835194177333,Recieved stimulus
VA,25.7953375629297,Recieved stimulus
VA,22.8849726259556,Recieved stimulus
VA,22.6572492326512,Recieved stimulus
VA,61.0435011639569,Recieved stimulus
VA,39.3717330402347,Recieved stimulus
VA,29.9749615287944,Recieved stimulus
VA,43.9002159385847,Recieved stimulus
VA,61.9359591024705,Recieved stimulus
VA,65.4314087438178,Recieved stimulus
VA,36.9489818922594,Recieved stimulus
VA,63.4680831159814,Recieved stimulus
VA,66.77494611355,Recieved stimulus
VA,106.192620391874,Recieved stimulus
VA,120.47581048058,Recieved stimulus
VA,37.034559265771,Recieved stimulus
VA,80.472301682147,Recieved stimulus
VA,70.3985953371074,Recieved stimulus
VA,66.0237010634666,Recieved stimulus
VA,102.462329987489,Recieved stimulus
VA,45.4547507531379,Recieved stimulus
VA,55.0500067237293,Recieved stimulus
VA,28.7168811752772,Recieved stimulus
VA,89.4537539433224,Recieved stimulus
VA,90.3092773932276,Recieved stimulus
VA,36.2735938929036,Recieved stimulus
VA,11.6924621704933,Recieved stimulus
VA,11.2872188272006,Recieved stimulus
VA,45.5504453124252,Recieved stimulus
VA,45.0243512859047,Recieved stimulus
VA,84.3442532424399,Recieved stimulus
VA,77.8837271838423,Recieved stimulus
VA,58.6208286996103,Recieved stimulus
VA,60.1059066588329,Recieved stimulus
VA,51.1817769691789,Recieved stimulus
VA,28.76064204667,Recieved stimulus
VA,27.7266280343534,Recieved stimulus
VA,53.8441626378995,Recieved stimulus
VA,79.9541876842849,Recieved stimulus
VA,46.7907246949132,Recieved stimulus
VA,109.243020234701,Recieved stimulus
VA,129.322825369565,Recieved stimulus
VA,46.6505990770974,Recieved stimulus
VA,49.9476071209714,Recieved stimulus
VA,46.2020821840073,Recieved stimulus
VA,35.9342683706549,Recieved stimulus
VA,97.1286092431192,Recieved stimulus
VA,34.3013040842875,Recieved stimulus
VA,-39.2531976482136,Recieved stimulus
VA,9.36279650111701,Recieved stimulus
VA,62.521244469415,Recieved stimulus
VA,55.3361733971076,Recieved stimulus
VA,11.7000724968675,Recieved stimulus
VA,13.85097982239,Recieved stimulus
VA,122.749387755102,Recieved stimulus
VA,-25.7487747250433,Recieved stimulus
VA,133.474037813408,Recieved stimulus
VA,25.8966150776888,Recieved stimulus
VA,68.458459149549,Recieved stimulus
VA,97.6794935364142,Recieved stimulus
VA,22.792514168024,Recieved stimulus
VA,34.0130262298435,Recieved stimulus
VA,131.72561043674,Recieved stimulus
VA,58.5575909305846,Recieved stimulus
VA,42.4303424956162,Recieved stimulus
VA,25.0779555032484,Recieved stimulus
VA,77.6101299858981,Recieved stimulus
VA,97.6247689162621,Recieved stimulus
VA,-114.226867738987,Recieved stimulus
VA,-16.9528114765441,Recieved stimulus
VA,13.9039337597008,Recieved stimulus
VA,26.169208328346,Recieved stimulus
VA,4.72268674449705,Recieved stimulus
VA,-22.3656603662792,Recieved stimulus
VA,59.6615597902479,Recieved stimulus
VA,-26.9169123184973,Recieved stimulus
VA,81.8228803956158,Recieved stimulus
VA,22.9818176810227,Recieved stimulus
VA,40.9052971461893,Recieved stimulus
VA,44.8806499547553,Recieved stimulus
VA,11.8990186647642,Recieved stimulus
VA,-0.379820227042752,Recieved stimulus
VA,47.5706556871058,Recieved stimulus
VA,36.9827041260094,Recieved stimulus
VA,49.6054888147992,Recieved stimulus
VA,44.5027810861584,Recieved stimulus
VA,93.3423194137765,Recieved stimulus
VA,20.1447489226544,Recieved stimulus
VA,77.1984362488814,Recieved stimulus
VA,58.6282881415288,Recieved stimulus
VA,34.9953439410503,Recieved stimulus
VA,27.9942706450879,Recieved stimulus
VA,17.7575736328117,Recieved stimulus
VA,33.8625811996178,Recieved stimulus
VA,62.6374633431085,Recieved stimulus
VA,3.54266834423103,Recieved stimulus
VA,60.340292930442,Recieved stimulus
VA,50.1336006381933,Recieved stimulus
VA,69.9896019721955,Recieved stimulus
VA,43.5790846921837,Recieved stimulus
VA,61.5391219422082,Recieved stimulus
VA,-35.5849322776734,Recieved stimulus
VA,48.9135503264857,Recieved stimulus
VA,45.5487532281699,Recieved stimulus
VA,69.4694433827866,Recieved stimulus
VA,66.6672133163872,Recieved stimulus
VA,50.5879060508347,Recieved stimulus
VA,114.030412732143,Recieved stimulus
VA,68.2652744288958,Recieved stimulus
VA,72.996484302285,Recieved stimulus
VA,15.8401422666539,Recieved stimulus
VA,59.7291053803509,Recieved stimulus
VA,21.6323654415552,Recieved stimulus
VA,21.3875913891145,Recieved stimulus
VA,22.4123038097613,Recieved stimulus
VA,54.1887669765916,Recieved stimulus
VA,-44.1283631044723,Recieved stimulus
VA,23.0145949199924,Recieved stimulus
VA,34.5545103189425,Recieved stimulus
VA,81.2048529803237,Recieved stimulus
VA,43.938387337229,Recieved stimulus
VA,69.7884287933271,Recieved stimulus
VA,35.0879640783801,Recieved stimulus
VA,70.7514650088294,Recieved stimulus
VA,91.0451988356255,Recieved stimulus
VA,48.5038406752498,Recieved stimulus
VA,34.4669513839719,Recieved stimulus
VA,74.4701261561295,Recieved stimulus
VA,118.671011500032,Recieved stimulus
VA,61.2388179020754,Recieved stimulus
VA,63.7596517370048,Recieved stimulus
VA,74.9715572947208,Recieved stimulus
VA,-78.8160947840425,Recieved stimulus
VA,23.444861301682,Recieved stimulus
VA,72.4251407563862,Recieved stimulus
VA,71.8960102757211,Recieved stimulus
VA,39.5334101220264,Recieved stimulus
VA,118.277033881112,Recieved stimulus
VA,81.4298964526282,Recieved stimulus
VA,24.751158195432,Recieved stimulus
VA,33.1036877322716,Recieved stimulus
VA,52.7456497780887,Recieved stimulus
VA,-3.99580429148012,Recieved stimulus
VA,45.2022713594519,Recieved stimulus
VA,52.4361344591203,Recieved stimulus
VA,66.0947374569243,Recieved stimulus
VA,77.1532505007559,Recieved stimulus
VA,47.6563246636957,Recieved stimulus
VA,72.3145193107474,Recieved stimulus
VA,68.967608824516,Recieved stimulus
VA,113.701341703483,Recieved stimulus
VA,25.7525091733874,Recieved stimulus
VA,6.9094116253873,Recieved stimulus
VA,60.7199854043598,Recieved stimulus
VA,53.5564961102163,Recieved stimulus
VA,51.9161551853007,Recieved stimulus
VA,110.601464223597,Recieved stimulus
VA,102.812377292419,Recieved stimulus
VA,-2.64217949011251,Recieved stimulus
VA,40.924627202656,Recieved stimulus
VA,13.7764780534969,Recieved stimulus
VA,43.6293607393236,Recieved stimulus
VA,57.6780384679158,Recieved stimulus
VA,57.2550035776648,Recieved stimulus
VA,47.9831484694711,Recieved stimulus
VA,27.0386033804707,Recieved stimulus
VA,90.8046648655138,Recieved stimulus
VA,28.7405242064113,Recieved stimulus
VA,-12.0060271220492,Recieved stimulus
VA,10.7408362474022,Recieved stimulus
VA,104.596959641948,Recieved stimulus
VA,24.3861429004256,Recieved stimulus
VA,24.1457647549724,Recieved stimulus
VA,78.0254782940492,Recieved stimulus
VA,91.7833883486484,Recieved stimulus
VA,34.7803370575937,Recieved stimulus
VA,54.7132103124376,Recieved stimulus
VA,52.2704794330982,Recieved stimulus
VA,59.8400357802181,Recieved stimulus
VA,91.3231759653777,Recieved stimulus
VA,32.8254573450159,Recieved stimulus
VA,39.5658480004884,Recieved stimulus
VA,53.2309759390552,Recieved stimulus
VA,59.3896035136105,Recieved stimulus
VA,61.3198565501152,Recieved stimulus
VA,16.7408711735588,Recieved stimulus
VA,63.1964381830298,Recieved stimulus
VA,46.7255927821752,Recieved stimulus
VA,63.4760252551905,Recieved stimulus
VA,63.6488614693955,Recieved stimulus
VA,72.4250519232037,Recieved stimulus
VA,69.0709880265518,Recieved stimulus
VA,56.8352554219869,Recieved stimulus
VA,27.0782655320171,Recieved stimulus
VA,55.4076833824168,Recieved stimulus
VA,50.5815209975503,Recieved stimulus
VA,17.2158769588542,Recieved stimulus
VA,27.6519878822441,Recieved stimulus
VA,54.9614791739696,Recieved stimulus
VA,52.8612740655123,Recieved stimulus
VA,50.5895884172674,Recieved stimulus
VA,45.1467311269912,Recieved stimulus
VA,55.7723810009083,Recieved stimulus
VA,65.1784925853254,Recieved stimulus
VA,35.9777641368872,Recieved stimulus
VA,43.5603533299104,Recieved stimulus
VA,28.3237270790679,Recieved stimulus
VA,163.843172142086,Recieved stimulus
